label,binned_values,number_of_bins,probabilities
Arhgef12,"[4, 1, 2, 3, 1, 3, 2, 1, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 5, 1, 1, 1, 2, 1, 2, 1, 3, 1, 1, 2, 3, 3, 1, 2, 2, 2, 3, 2, 3, 3, 2, 1, 3, 3, 2, 1, 1, 3, 1, 1, 2, 3, 1, 2, 2, 3, 2, 3, 1, 1, 1, 3, 5, 3, 1, 2, 3, 1, 1, 1, 5, 1, 3, 3, 3, 1, 3, 3, 3, 1, 5, 3, 1, 1, 4, 3, 1, 4, 3, 3, 2, 2, 3, 3, 4, 1, 1, 1, 1, 2, 4, 3, 3, 1, 3, 1, 2, 1, 3, 4, 3, 3, 1, 1, 2, 3, 4, 1, 3, 3, 1, 2, 2, 2, 2, 4, 5, 3, 3, 1, 1, 3, 2, 3, 3, 3, 1, 3, 1, 3, 1, 1, 1, 3, 1, 3, 3, 1, 3, 2, 3, 2, 1, 1, 3, 5, 3, 2, 4, 1, 3, 3, 1, 3, 2, 3, 3, 3, 5, 2, 3, 1, 1, 2, 4, 1, 2, 3, 1, 1, 4, 3, 2, 1, 3, 1, 1, 3, 3, 2, 2, 1, 1, 2, 1, 2, 3, 2, 1, 4]",5,"[0.33, 0.22, 0.355, 0.06, 0.035]"
Srsf1,"[2, 1, 1, 3, 1, 2, 3, 3, 2, 4, 3, 3, 1, 2, 1, 1, 3, 3, 4, 1, 2, 1, 1, 2, 3, 1, 3, 1, 1, 2, 3, 2, 2, 2, 4, 2, 1, 1, 2, 3, 1, 1, 2, 3, 1, 2, 1, 4, 2, 2, 3, 3, 1, 2, 1, 1, 2, 1, 1, 3, 1, 2, 4, 2, 2, 1, 1, 1, 2, 2, 4, 2, 3, 1, 3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 1, 2, 3, 2, 1, 1, 3, 3, 3, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 2, 1, 2, 2, 2, 4, 1, 2, 1, 1, 3, 3, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 3, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 3, 3, 4, 1, 2, 1, 1, 2, 1, 3, 1, 3, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 2, 2, 1, 3, 1, 2, 1, 1, 4, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1]",4,"[0.385, 0.385, 0.185, 0.045]"
Lrrc4c,"[1, 1, 1, 4, 1, 1, 1, 1, 2, 3, 1, 2, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 4, 1, 3, 1, 1, 1, 4, 1, 3, 2, 4, 1, 1, 1, 2, 3, 1, 1, 1, 4, 1, 1, 1, 4, 1, 3, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 3, 1, 1, 1, 2, 1, 1, 3, 1, 4, 1, 3, 1, 1, 1, 3, 3, 1, 1, 4, 2, 1, 4, 1, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 2, 2, 3, 3, 2, 1, 1, 2, 1, 3, 3, 1, 3, 3, 1, 1, 3, 1, 1, 1, 3, 1, 3, 2, 4, 1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 3, 2, 4, 2, 4, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 2, 1, 2, 3, 1, 1, 2, 2, 1, 2, 2, 2, 1, 3, 3, 3, 2, 4, 3, 4, 1, 3, 3, 1, 3, 1, 1, 1, 1]",4,"[0.56, 0.16, 0.2, 0.08]"
Usp2,"[1, 2, 1, 4, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 3, 1, 2, 2, 1, 1, 1, 2, 1, 1, 4, 2, 1, 1, 1, 1, 2, 1, 3, 1, 3, 1, 2, 1, 3, 4, 1, 1, 2, 1, 1, 1, 1, 4, 2, 3, 1, 3, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 3, 2, 1, 4, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 2, 4, 2, 2, 3, 1, 1, 1, 2, 1, 3, 3, 1, 1, 1, 2, 2, 2, 2, 3, 1, 3, 1, 2, 1, 3, 3, 2, 1, 1, 1, 1, 3, 3, 2, 4, 1, 1, 2, 1, 1, 3, 3, 4, 3, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 2, 1, 1, 4, 1, 1, 2, 2, 1, 4, 1, 3, 1, 1, 1, 3, 3, 3, 4, 3, 4, 2, 3, 1, 1, 2, 1, 1, 2, 1, 3, 1, 1, 1, 4, 1, 3, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 3, 1, 1, 1, 1, 1, 2]",4,"[0.555, 0.21, 0.165, 0.07]"
Gabra1,"[2, 2, 1, 4, 3, 1, 3, 3, 2, 3, 3, 4, 1, 3, 3, 1, 3, 2, 1, 1, 1, 1, 1, 1, 3, 1, 5, 1, 1, 1, 3, 2, 3, 3, 4, 3, 1, 1, 4, 5, 1, 1, 3, 4, 1, 1, 3, 5, 2, 3, 3, 3, 1, 4, 1, 1, 3, 1, 1, 4, 1, 2, 4, 4, 1, 1, 5, 3, 1, 2, 3, 1, 4, 2, 4, 1, 2, 1, 1, 1, 5, 3, 3, 1, 4, 3, 1, 3, 2, 3, 1, 2, 3, 4, 5, 1, 1, 1, 1, 5, 3, 1, 3, 1, 3, 2, 1, 1, 4, 3, 3, 1, 1, 1, 1, 3, 3, 4, 4, 3, 1, 1, 4, 1, 3, 4, 4, 2, 3, 1, 1, 3, 1, 1, 3, 3, 1, 4, 2, 3, 1, 1, 1, 3, 2, 1, 3, 1, 1, 3, 3, 2, 1, 3, 3, 5, 3, 3, 4, 4, 5, 1, 1, 1, 1, 1, 1, 4, 5, 1, 3, 3, 3, 3, 4, 1, 3, 4, 1, 1, 3, 1, 3, 1, 4, 1, 4, 1, 4, 3, 3, 2, 3, 3, 1, 1, 1, 1, 1, 1]",5,"[0.42, 0.09, 0.3, 0.14, 0.05]"
Slitrk4,"[1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 3, 2, 3, 2, 2, 1, 1, 3, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 2, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 3, 3, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 2, 3, 2, 2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 3, 2, 2, 1, 3, 1, 2, 1, 2, 2, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1]",3,"[0.595, 0.305, 0.1]"
Plcb1,"[1, 2, 1, 4, 1, 2, 3, 4, 2, 3, 1, 2, 1, 3, 2, 1, 3, 1, 4, 2, 1, 2, 1, 3, 3, 2, 3, 1, 2, 1, 3, 1, 3, 1, 3, 2, 1, 1, 2, 3, 1, 2, 1, 2, 1, 1, 3, 4, 1, 1, 3, 3, 1, 4, 2, 1, 3, 1, 1, 2, 1, 2, 4, 3, 1, 2, 4, 1, 1, 1, 3, 1, 3, 1, 3, 1, 3, 2, 1, 1, 1, 2, 2, 2, 4, 3, 1, 4, 1, 2, 2, 1, 1, 3, 3, 1, 1, 1, 1, 3, 2, 1, 3, 1, 3, 1, 1, 1, 1, 4, 1, 1, 2, 2, 1, 3, 4, 3, 4, 2, 1, 1, 2, 1, 1, 3, 4, 3, 3, 1, 1, 4, 2, 1, 2, 2, 1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 3, 2, 1, 2, 3, 2, 1, 2, 2, 4, 4, 3, 4, 4, 3, 1, 1, 2, 1, 2, 1, 2, 3, 2, 1, 2, 1, 2, 4, 1, 2, 2, 1, 1, 4, 1, 2, 2, 3, 3, 1, 2, 3, 2, 3, 1, 3, 3, 1, 1, 2, 3, 1, 1]",4,"[0.425, 0.245, 0.23, 0.1]"
Nbr1,"[1, 1, 1, 2, 2, 1, 2, 2, 2, 3, 3, 1, 1, 2, 1, 1, 1, 3, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 3, 1, 2, 2, 4, 1, 1, 2, 1, 3, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 3, 1, 1, 3, 1, 2, 1, 2, 2, 4, 2, 1, 2, 4, 2, 1, 1, 4, 1, 3, 2, 3, 2, 3, 1, 2, 1, 2, 2, 1, 1, 3, 2, 2, 4, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 3, 2, 2, 3, 3, 2, 4, 1, 1, 2, 3, 3, 1, 2, 2, 1, 3, 1, 2, 3, 1, 3, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 3, 2, 2, 1, 2, 2, 2, 3, 2, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1, 3, 2, 1, 2, 1, 1, 1]",4,"[0.43, 0.425, 0.115, 0.03]"
9330159F19Rik,"[1, 2, 2, 4, 1, 1, 1, 3, 4, 1, 2, 2, 2, 1, 2, 1, 2, 2, 3, 1, 1, 2, 1, 3, 4, 2, 3, 1, 1, 1, 4, 1, 3, 2, 3, 2, 1, 1, 2, 1, 2, 2, 4, 1, 1, 1, 1, 5, 1, 2, 2, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 5, 2, 1, 2, 3, 2, 1, 2, 2, 1, 4, 2, 3, 2, 2, 4, 1, 1, 2, 2, 1, 1, 4, 2, 1, 3, 1, 2, 2, 1, 1, 3, 2, 2, 1, 2, 1, 3, 2, 1, 4, 1, 4, 1, 1, 1, 3, 3, 4, 1, 1, 1, 1, 4, 2, 1, 4, 2, 1, 2, 1, 1, 3, 2, 4, 4, 4, 3, 1, 4, 3, 3, 2, 4, 1, 1, 1, 2, 1, 1, 3, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 3, 4, 4, 4, 3, 4, 1, 1, 1, 1, 3, 1, 1, 4, 1, 1, 4, 2, 3, 3, 1, 2, 2, 1, 1, 2, 3, 3, 1, 4, 1, 1, 2, 4, 2, 1, 1, 2, 3, 1, 2, 2, 1, 1, 1]",5,"[0.45, 0.275, 0.13, 0.135, 0.01]"
Etnk1,"[3, 1, 3, 4, 1, 3, 3, 4, 1, 5, 3, 1, 1, 2, 2, 1, 3, 2, 5, 3, 1, 3, 2, 1, 3, 3, 3, 1, 2, 1, 4, 4, 4, 1, 3, 3, 1, 1, 4, 2, 1, 1, 2, 5, 1, 1, 2, 4, 3, 1, 3, 3, 1, 2, 2, 1, 3, 1, 2, 3, 1, 3, 3, 3, 2, 2, 3, 1, 3, 1, 5, 1, 4, 1, 2, 1, 3, 1, 2, 1, 3, 4, 2, 1, 3, 3, 3, 4, 2, 3, 2, 1, 3, 3, 4, 2, 1, 1, 1, 3, 3, 1, 3, 1, 3, 1, 1, 1, 1, 3, 4, 2, 3, 3, 1, 2, 3, 3, 4, 2, 1, 1, 2, 1, 1, 4, 3, 3, 3, 1, 1, 3, 2, 1, 3, 4, 3, 3, 1, 2, 2, 2, 1, 3, 1, 3, 3, 1, 1, 1, 5, 2, 1, 2, 1, 3, 5, 1, 4, 3, 4, 1, 1, 1, 2, 3, 1, 3, 5, 1, 3, 3, 2, 1, 2, 1, 3, 3, 1, 2, 2, 3, 1, 1, 4, 3, 1, 1, 4, 4, 4, 2, 3, 3, 3, 1, 1, 1, 1, 1]",5,"[0.37, 0.175, 0.315, 0.105, 0.035]"
Scn8a,"[2, 1, 2, 5, 1, 3, 4, 3, 1, 3, 2, 1, 1, 3, 3, 3, 4, 2, 5, 2, 2, 3, 1, 1, 4, 2, 4, 1, 1, 2, 4, 1, 5, 2, 3, 2, 1, 3, 3, 4, 1, 2, 4, 4, 1, 1, 3, 5, 2, 3, 2, 1, 2, 4, 1, 1, 3, 1, 1, 3, 1, 2, 5, 3, 2, 3, 3, 1, 1, 1, 3, 1, 5, 1, 5, 1, 1, 1, 1, 2, 3, 3, 3, 1, 5, 3, 1, 5, 1, 2, 1, 2, 1, 5, 4, 1, 1, 1, 1, 3, 1, 1, 2, 3, 5, 1, 1, 1, 3, 5, 3, 3, 1, 1, 1, 5, 4, 3, 5, 3, 1, 1, 4, 1, 3, 3, 3, 3, 5, 2, 1, 4, 1, 1, 3, 4, 1, 2, 2, 5, 2, 1, 1, 4, 1, 1, 3, 1, 1, 3, 3, 2, 1, 1, 2, 5, 4, 4, 5, 3, 5, 1, 2, 2, 1, 3, 1, 2, 5, 1, 1, 2, 1, 3, 5, 1, 3, 3, 1, 1, 4, 2, 4, 1, 5, 3, 3, 1, 4, 4, 5, 1, 3, 3, 2, 2, 1, 1, 1, 1]",5,"[0.385, 0.165, 0.23, 0.105, 0.115]"
Fgf13,"[1, 1, 1, 3, 1, 1, 3, 4, 1, 4, 1, 3, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 4, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 3, 1, 1, 4, 1, 1, 2, 2, 1, 2, 1, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 3, 1, 1, 2, 1, 2, 1, 1, 1, 2, 4, 1, 1, 1, 1, 4, 3, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 3, 4, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 3, 2, 3, 3, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1]",4,"[0.655, 0.205, 0.085, 0.055]"
Cyp46a1,"[1, 3, 2, 3, 1, 2, 2, 4, 1, 4, 1, 2, 1, 1, 1, 1, 3, 1, 5, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 2, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 3, 3, 1, 2, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 2, 5, 3, 1, 1, 3, 1, 1, 3, 4, 1, 4, 1, 3, 2, 1, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 3, 1, 2, 3, 1, 3, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 4, 1, 1, 1, 2, 1, 1, 4, 3, 3, 2, 1, 1, 3, 1, 1, 3, 3, 2, 3, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 3, 2, 2, 2, 1, 1, 1, 3, 5, 2, 4, 3, 3, 1, 1, 1, 1, 3, 1, 2, 4, 1, 3, 3, 1, 1, 5, 1, 2, 1, 1, 2, 2, 2, 2, 1, 3, 1, 3, 1, 2, 2, 2, 1, 3, 3, 1, 1, 2, 1, 1, 1]",5,"[0.555, 0.185, 0.185, 0.055, 0.02]"
Fbxl3,"[1, 1, 1, 4, 1, 1, 3, 3, 1, 1, 3, 2, 2, 3, 3, 1, 3, 3, 4, 1, 1, 1, 1, 2, 3, 3, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 3, 1, 1, 1, 2, 1, 3, 1, 5, 1, 3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 4, 3, 1, 4, 4, 2, 1, 4, 2, 1, 1, 3, 1, 4, 2, 1, 1, 2, 1, 1, 1, 3, 2, 2, 1, 3, 2, 4, 3, 2, 4, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 3, 3, 2, 1, 2, 4, 1, 1, 3, 4, 3, 2, 3, 1, 1, 2, 2, 1, 3, 2, 2, 1, 2, 1, 1, 1, 2, 1, 3, 2, 1, 3, 1, 1, 1, 1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 2, 4, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 3, 1, 4, 1, 3, 2, 1, 3, 1, 3, 3, 1, 5, 1, 1, 4, 2, 1, 2, 1]",5,"[0.52, 0.2, 0.2, 0.07, 0.01]"
Bsn,"[2, 2, 2, 4, 1, 2, 3, 4, 3, 3, 2, 2, 1, 1, 1, 1, 3, 1, 4, 3, 1, 1, 3, 1, 4, 1, 3, 1, 1, 1, 2, 4, 2, 1, 1, 3, 1, 3, 2, 3, 1, 1, 3, 2, 1, 1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 1, 2, 1, 2, 3, 1, 3, 3, 3, 1, 3, 4, 1, 1, 3, 3, 1, 3, 2, 4, 1, 2, 2, 1, 1, 4, 1, 2, 1, 4, 3, 3, 4, 3, 3, 1, 1, 2, 2, 3, 1, 1, 2, 1, 3, 2, 1, 3, 1, 3, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 3, 2, 2, 4, 2, 1, 1, 2, 1, 3, 4, 3, 2, 3, 1, 1, 3, 3, 1, 2, 2, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 4, 1, 2, 1, 1, 3, 4, 3, 3, 2, 3, 1, 2, 1, 1, 3, 1, 1, 4, 1, 3, 1, 2, 1, 4, 1, 2, 3, 1, 1, 3, 1, 2, 2, 3, 2, 3, 1, 3, 3, 3, 1, 3, 3, 1, 1, 1, 2, 1, 1]",4,"[0.45, 0.2, 0.27, 0.08]"
Inpp4a,"[1, 1, 1, 4, 1, 1, 3, 2, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 2, 2, 3, 1, 3, 3, 1, 1, 2, 2, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 2, 1, 1, 3, 1, 1, 3, 1, 1, 3, 2, 1, 4, 4, 1, 3, 2, 1, 1, 1, 3, 1, 3, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 4, 3, 1, 4, 1, 1, 1, 1, 2, 3, 3, 2, 1, 2, 1, 3, 3, 1, 2, 1, 4, 1, 2, 2, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 3, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 3, 2, 1, 1, 2, 2, 3, 1, 4, 2, 3, 1, 1, 2, 1, 2, 1, 3, 4, 1, 1, 2, 1, 1, 3, 1, 3, 2, 1, 1, 3, 1, 2, 1, 4, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4,"[0.595, 0.175, 0.18, 0.05]"
Smarca2,"[2, 1, 3, 4, 1, 1, 3, 4, 3, 3, 3, 3, 1, 2, 2, 2, 3, 1, 5, 2, 1, 2, 1, 1, 3, 3, 3, 1, 1, 2, 3, 2, 3, 3, 3, 2, 1, 1, 3, 5, 1, 2, 3, 4, 1, 1, 3, 4, 1, 2, 3, 3, 2, 3, 1, 1, 3, 1, 2, 2, 1, 3, 4, 3, 1, 3, 3, 1, 2, 3, 3, 1, 3, 1, 4, 3, 4, 1, 3, 1, 3, 3, 3, 1, 4, 3, 2, 3, 3, 3, 1, 2, 3, 3, 2, 3, 1, 2, 1, 3, 3, 1, 3, 1, 3, 2, 1, 1, 3, 3, 3, 1, 2, 1, 1, 2, 2, 1, 4, 4, 1, 3, 1, 3, 2, 4, 4, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 2, 1, 1, 3, 3, 2, 1, 2, 2, 3, 4, 3, 5, 3, 4, 1, 3, 2, 1, 4, 1, 1, 5, 1, 3, 1, 1, 3, 3, 1, 3, 4, 2, 2, 3, 1, 1, 3, 3, 3, 3, 1, 3, 3, 4, 1, 3, 1, 1, 2, 2, 1, 1, 2]",5,"[0.36, 0.17, 0.365, 0.085, 0.02]"
Kcna2,"[1, 2, 2, 4, 1, 3, 3, 4, 1, 1, 3, 1, 1, 3, 2, 2, 3, 1, 5, 1, 1, 1, 1, 3, 3, 1, 4, 1, 1, 2, 4, 3, 3, 3, 3, 2, 3, 1, 4, 4, 1, 3, 3, 4, 1, 1, 3, 4, 1, 3, 1, 5, 1, 1, 1, 1, 3, 1, 1, 3, 1, 5, 3, 3, 2, 3, 4, 1, 1, 3, 4, 1, 4, 1, 3, 1, 3, 2, 1, 1, 3, 1, 3, 1, 3, 2, 3, 4, 4, 2, 1, 1, 3, 3, 4, 1, 1, 2, 1, 4, 3, 1, 3, 1, 3, 1, 1, 1, 3, 3, 4, 1, 1, 1, 1, 4, 2, 2, 3, 3, 1, 2, 2, 1, 2, 5, 4, 2, 3, 1, 1, 3, 1, 1, 3, 2, 2, 4, 1, 3, 2, 1, 1, 2, 1, 1, 4, 2, 3, 3, 2, 2, 1, 1, 2, 4, 4, 2, 4, 3, 4, 2, 2, 1, 1, 1, 2, 3, 5, 1, 1, 1, 1, 2, 2, 1, 2, 4, 2, 2, 3, 1, 3, 1, 3, 1, 3, 1, 5, 2, 3, 1, 1, 2, 1, 2, 2, 1, 1, 1]",5,"[0.405, 0.19, 0.25, 0.125, 0.03]"
Fbxl16,"[2, 1, 1, 5, 1, 3, 3, 4, 1, 4, 3, 1, 1, 3, 2, 1, 3, 1, 4, 1, 1, 2, 1, 1, 4, 2, 3, 1, 1, 1, 3, 1, 4, 3, 3, 1, 1, 2, 3, 4, 1, 1, 3, 3, 1, 1, 3, 5, 2, 2, 3, 3, 2, 4, 2, 1, 3, 2, 1, 3, 1, 3, 5, 3, 1, 3, 3, 1, 1, 3, 3, 1, 5, 1, 4, 1, 3, 1, 1, 1, 3, 3, 2, 1, 5, 2, 1, 5, 2, 3, 1, 1, 3, 3, 5, 1, 1, 1, 1, 3, 3, 1, 1, 1, 5, 2, 1, 1, 3, 3, 3, 1, 2, 1, 1, 3, 3, 2, 4, 3, 3, 1, 3, 1, 2, 4, 4, 3, 3, 1, 1, 3, 3, 1, 1, 2, 1, 2, 1, 3, 1, 1, 1, 3, 1, 2, 2, 1, 1, 3, 3, 2, 1, 2, 1, 3, 4, 3, 5, 2, 4, 1, 1, 1, 1, 3, 1, 2, 3, 1, 3, 3, 1, 3, 3, 1, 2, 3, 2, 1, 5, 3, 4, 1, 4, 3, 2, 2, 4, 3, 3, 1, 3, 1, 1, 1, 1, 2, 1, 2]",5,"[0.41, 0.155, 0.305, 0.08, 0.05]"
Pdxp,"[2, 1, 1, 4, 1, 1, 1, 2, 1, 3, 1, 2, 1, 2, 2, 2, 2, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2, 4, 1, 1, 2, 2, 1, 2, 2, 1, 1, 3, 2, 1, 2, 1, 1, 2, 1, 2, 3, 3, 1, 2, 2, 1, 1, 2, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 2, 3, 1, 1, 2, 1, 1, 4, 1, 2, 1, 1, 2, 2, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 4, 2, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 3, 1, 1, 2, 1, 2, 3, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 3, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1]",4,"[0.57, 0.355, 0.05, 0.025]"
Caskin1,"[4, 1, 2, 2, 1, 1, 3, 3, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 1, 2, 1, 4, 4, 1, 2, 1, 4, 2, 1, 2, 3, 1, 1, 1, 3, 1, 1, 2, 1, 2, 3, 1, 3, 1, 2, 3, 4, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 4, 1, 3, 2, 1, 1, 3, 4, 2, 1, 4, 2, 1, 4, 1, 1, 1, 2, 2, 2, 4, 1, 2, 1, 2, 2, 3, 1, 2, 1, 3, 1, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 2, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 3, 3, 3, 4, 2, 4, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 3, 1, 3, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 4, 1, 3, 1, 1, 1, 1, 1, 1, 1]",4,"[0.505, 0.31, 0.115, 0.07]"
