upregulated,,,downregulated,,
gene id,log2FC,adj. P-value,gene id,log2FC,adj. P-value
RPS6KA2,1.99222469,3.49104E-11,FOXM1,-2.599125482,9.4064E-117
LOC643008,1.991719438,7.50547E-11,HAUS8,-2.588127908,3.45014E-38
PLXNB3,1.989925922,8.99964E-28,RBL1,-2.580903652,1.50809E-50
PGPEP1,1.968454211,3.83977E-11,KIAA0101,-2.580899547,3.95847E-38
LOC645431,1.9676784,0.000168311,ANKRD43,-2.578554353,6.8925E-17
ZFYVE1,1.961525943,1.12649E-05,NCAPD3,-2.569960306,2.68855E-83
SYT8,1.958350729,3.01815E-05,RADIL,-2.558189301,3.42251E-06
HIST1H3H,1.954248721,8.73813E-12,FANCA,-2.557905305,2.17849E-83
DEPDC6,1.947583315,1.60045E-05,KNTC1,-2.550842028,8.84391E-90
RASSF2,1.946956622,0.000758665,CENPH,-2.549584872,4.87332E-50
AGAP11,1.942028265,1.81153E-12,CCDC18,-2.54926507,8.11754E-19
SOD3,1.941970339,0.000338951,OIP5,-2.547207212,2.40668E-31
BEX4,1.938881352,3.32063E-05,C15orf23,-2.537785541,2.55335E-69
TRIM5,1.936122402,6.78537E-19,CCNF,-2.531573991,5.30866E-97
PLAU,1.934446745,4.5664E-16,DDX12,-2.52063526,3.9304E-15
LOC100134868,1.930023844,0.001874561,RFC4,-2.515120196,4.96816E-46
SSPO,1.924389124,3.18505E-16,CHTF18,-2.495625422,2.78816E-97
APOD,1.921370997,8.82451E-05,CENPJ,-2.494774887,3.30625E-42
ABAT,1.919886571,8.37186E-88,RFC3,-2.480023746,3.87014E-85
KIAA0513,1.919044775,1.1543E-25,ACTL8,-2.469808799,0.001102479
LYNX1,1.918733461,0.000130227,RNASEH2A,-2.467305194,6.91294E-65
C20orf108,1.915540603,3.70884E-07,POC1A,-2.465743776,4.90828E-40
ABCA12,1.915193732,5.42293E-54,STMN1,-2.455149278,5.95379E-29
C1QTNF6,1.913935497,6.89438E-27,KIF20B,-2.453185997,1.29686E-72
RHCG,1.911001506,0.002931761,DUSP9,-2.443354221,3.8078E-11
RFX5,1.909273348,1.05277E-15,MASTL,-2.431958146,1.05344E-69
KLK6,1.903771263,5.24665E-14,PRTFDC1,-2.428127574,0.000443979
RSPH1,1.902101742,2.53137E-07,CTNNAL1,-2.407804972,1.45816E-15
UGT1A6,1.901023455,0.013023,C1orf112,-2.398102593,1.12483E-31
GNA14,1.900290771,9.74767E-06,ZNF257,-2.39209074,1.74561E-09
KCNF1,1.898333429,7.33123E-11,CKS1B,-2.391327865,2.40908E-26
LOC284379,1.895665753,0.003487706,MGC12982,-2.384651356,1.00693E-07
SYTL1,1.890872437,8.43465E-12,GINS1,-2.375468562,5.87919E-79
PIK3R3,1.889989455,5.52586E-52,GINS4,-2.355208487,1.37082E-33
YPEL3,1.889858082,7.69773E-16,AURKAPS1,-2.349163604,1.01752E-14
SYNPO,1.887444842,1.42251E-10,TMEM194B,-2.346910755,4.36775E-12
WISP2,1.880785197,8.62053E-11,GINS3,-2.342191907,8.20823E-26
PSTPIP2,1.876591009,8.10696E-25,UBE2S,-2.340363799,1.27054E-57
CEACAM19,1.872255849,1.19211E-07,SLC29A1,-2.326449885,3.86264E-31
C16orf45,1.866617812,0.001294292,KHDRBS3,-2.322964962,0.00050703
ABCC3,1.865951091,3.09588E-30,CEP152,-2.31891806,4.00933E-26
GABARAPL1,1.865452709,3.33273E-06,MMS22L,-2.304402107,5.9803E-54
ANKRA2,1.862246923,5.33689E-18,LOC100128191,-2.28673053,1.00777E-09
ZNF750,1.860828615,1.36388E-11,GRIK3,-2.283970047,0.000177202
NR2E3,1.859479373,0.001446307,TIPIN,-2.283407296,1.06329E-24
SYBU,1.859091254,3.45015E-05,ITPKA,-2.280483443,5.97823E-06
C16orf5,1.853519957,2.87667E-08,NXPH4,-2.278037396,1.55761E-05
TSPAN1,1.852342974,0.004094893,NCAPD2,-2.274707199,5.2719E-105
CALD1,1.847700016,1.43806E-11,NES,-2.273059054,3.08894E-20
DTX1,1.84738404,0.000867032,LOC642846,-2.272138868,4.33828E-07
AFAP1L2,1.836710767,0.006585484,DHFR,-2.271212692,1.03221E-22
SPINK4,1.836484031,7.54513E-05,DUT,-2.267231454,8.72849E-68
ARL15,1.828867414,1.23043E-25,BRIP1,-2.266588438,3.8955E-30
ZFHX2,1.827491993,2.64256E-10,SASS6,-2.259452027,1.53589E-21
SILV,1.826250761,2.82816E-08,DSN1,-2.252502772,5.6161E-46
PNPLA7,1.823879677,1.51874E-07,GPSM2,-2.247410718,1.63E-61
MFSD4,1.810825219,0.004546657,BARD1,-2.245512108,1.05521E-27
C1orf183,1.799462727,5.25025E-38,FOXD2,-2.241332624,1.38166E-05
PLA2G10,1.798776816,0.004930837,HELLS,-2.240451536,2.88358E-22
NMNAT2,1.798490639,0.010100236,TAF5,-2.231594317,5.49524E-10
KIAA1217,1.792590173,7.88967E-47,CCHCR1,-2.221845759,2.81683E-10
SERPINB8,1.789300658,2.14263E-06,MCM4,-2.221837869,4.56397E-96
ASB9P1,1.788781761,0.018738884,ZWILCH,-2.220069176,2.82364E-71
TEX9,1.78755486,0.003495569,C16orf75,-2.218172035,3.01746E-51
MAG,1.786579889,9.29193E-06,H2AFX,-2.215422302,4.38867E-96
TMC4,1.780500265,4.53331E-12,C21orf45,-2.207562361,3.01453E-29
PHLDA3,1.778997792,3.18042E-60,MCM8,-2.196616571,1.28263E-43
FLJ35776,1.776580902,0.003281272,C4orf46,-2.19513394,1.16702E-21
PPP1R3B,1.774012487,7.03028E-08,GGH,-2.194115176,3.65907E-45
DDO,1.773461886,0.011704838,SMC4,-2.193163223,3.57283E-56
HLA-DRB1,1.772768839,6.62637E-08,TEX15,-2.179954548,3.67755E-05
HSD17B14,1.771420951,0.006278992,RTTN,-2.177456742,2.31317E-22
DIRC3,1.770884812,0.00127393,ARHGAP33,-2.176170968,3.27926E-25
NTN4,1.769346283,0.006046919,CENPW,-2.175312972,3.87925E-20
PLK3,1.767056044,4.60389E-17,ZNF519,-2.171443656,9.80802E-05
FANK1,1.762158096,0.00035855,RFC2,-2.168306167,6.08295E-53
UCP2,1.761771414,2.16188E-57,ANP32E,-2.157686901,2.97832E-81
KRT20,1.758733582,0.01117082,TP73,-2.145502799,5.92656E-09
CALML5,1.757680078,1.6918E-05,MCM3,-2.14416064,1.26608E-55
TNFRSF10B,1.754673693,9.37638E-40,C13orf27,-2.143634716,9.20042E-16
NTSR1,1.747472752,0.00072164,CENPO,-2.136908045,5.65163E-32
ZNF469,1.7472137,4.35297E-08,RFC5,-2.126019584,1.38001E-58
TNS4,1.747157448,0.039505769,TMPO,-2.121833469,1.9158E-90
TGFBI,1.741449414,0.004821248,CSPG5,-2.115530489,0.000237563
HLA-F,1.733882778,1.74578E-07,POLD1,-2.109353187,1.48459E-65
LOC729723,1.73195754,0.01725071,C12orf48,-2.109079204,9.306E-35
SLC7A8,1.730765169,2.31121E-27,NR2F1,-2.107706247,4.0146E-07
CROT,1.730372382,4.41333E-34,TTPA,-2.103529971,0.006543989
C17orf108,1.727681569,1.20122E-05,TUBA1B,-2.100521228,9.19766E-86
KILLIN,1.724598086,1.41338E-08,SNORD26,-2.085821065,0.00182501
NXNL2,1.72404209,0.00325583,MTBP,-2.083744121,1.14594E-12
NCKAP5L,1.719357928,1.87549E-28,LYN,-2.080858533,0.000625474
C15orf38,1.71851728,0.008208535,SP4,-2.067888992,4.7629E-06
ASB9,1.714775237,1.01557E-17,HUNK,-2.052815534,2.48129E-07
FER1L4,1.712086629,2.45302E-18,KCNC4,-2.043687825,0.000120816
STEAP3,1.708411633,0.000188011,KCNS3,-2.030392119,3.49612E-17
