"C1" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "C10" "C11" "C12" "C13" "C14" "C15" "C16" "C17" "C18" "C19" "C20" "C21" "C22" "C23" "C24" "C25" "C26" "C27" "C28" "C29" "C30" "C31" "C32" "C33" "C34" "C35" "C36" "C37" "C38" "C39" "C40" "C41" "C42" "C43" "C44" "C45" "C46" "C47" "C48" "C49" "C50" "C51" "C52" "C53" "C54" "C55" "C56" "C57" "C58" "C59" "C60" "C61" "C62" "C63" "C64" "C65" "C66" "C67" "C68" "C69" "C70" "C71" "C72" "C73" "C74" "C75" "C76" "C77" "C78" "C79" "C80" "C81" "C82" "C83" "C84" "C85" "C86" "C87" "C88" "C89" "C90" "C91" "C92" "C93" "C94" "C95" "C96" "C97" "C98" "C99" "C100" "C101" "C102" "C103" "C104" "C105" "C106" "C107" "C108" "C109" "C110" "C111" "C112" "C113" "C114" "C115" "C116" "C117" "C118" "C119" "C120" "C121" "C122" "C123" "C124" "C125" "C126" "C127" "C128" "C129" "C130" "C131" "C132" "C133" "C134" "C135" "C136" "N1" "C137" "C138" "C139" "N2" "C140" "C141" "C142" "N3" "N4" "N5" "N6" "R1" "N7" "N8" "N9" "N10" "N11" "N12" "N13" "N14" "N15" "N16" "N17" "N18" "N19" "N20" "N21" "N22" "N23" "N24" "N25" "N26" "R2" "R3" "R4"
"Mat2a" 137.48 50.93 0 1.68 2302.15 2.74 1.33 44.1 0.46 1344.65 9.08 0 1.92 46.59 182.18 1.04 889.88 193.49 1.74 34.97 0.89 1.12 309.04 0 3.07 215.36 1.13 4.14 3.62 1023.19 199.48 905.85 773.63 520.42 1240.57 2454.65 2.67 0.56 4.52 1.26 420.09 2.12 8.08 1.22 1.24 1434.89 726.85 2881.1 1.5 225.93 18.08 11.19 1.41 1.21 0.37 1.32 428.83 1768.81 2.97 1.52 619.82 4.32 300.02 1372.39 6.18 5.34 37.73 369.07 0.6 1155.59 0.92 927.76 179.35 1.28 0 339.03 22.11 2.29 233.36 962.34 526.87 2445.67 789.06 1.96 1.46 0.99 0 1.7 237.18 3.05 539.91 108.32 498.65 466.83 94.43 874.56 12.41 821.01 0 3.58 1.01 335.42 22.58 249.66 131.8 1501.93 0.91 69.28 0.48 389.67 752.25 88.04 315.45 164.43 806.82 1378.31 317.85 0 4.86 29.54 545.44 844.71 120.87 376.49 148.03 485.75 3.68 5.91 0 2.34 17.94 156.47 2.2 114.38 559.66 240.96 328.64 151.98 0.76 654.55 1.79 180.25 178.56 0 0 0 3.55 0 218.51 1.05 0 0.86 0.65 190.87 1.58 421.7 0 0 0 0.98 435.49 1.23 4.15 0 1.62 0.38 0.62 104.28 1.12 0.58 30.85 0.61
"1110058L19Rik" 0 0 0 0 967.57 5.62 0 419.86 0 0 0 741.59 0 0 0 5.33 0 10.86 5.94 29.93 0 0 2123.25 5.05 0 0 0 990.22 0 1723.33 1884.18 0 2609.1 0 0 3.9 0 5.78 7.73 0 0 0 780.53 0 0 0 0 14.49 0 5.66 0 0 144.6 0 0 2708.72 524.92 11.2 0 7.79 0 0 0 0 0 0 0 0 0 2092.42 580.92 8.12 1626.83 0 10.45 6.05 22.09 0 213.62 0 15.58 0 0 0 375.49 614.85 1704.88 0 2940.18 0 564.6 0 3.85 0 0 0 0 0 7.58 238.79 2756.15 0 1005.13 896.61 4.86 0 0 0 0 0 3.57 0 9.36 0 0 0 0 189.46 0 3.79 288.08 5.21 479.08 0 430.51 241.99 0 0 0 3.01 512.93 197.22 239.93 0 1653.17 1490.12 2321.27 398.93 0 7.67 840.52 0 0 0 0 0 1477.71 0 0 0 907.14 0 6.71 725.5 4006.44 0 7.52 0 0 5.06 0 0 14.21 0 8.34 0 0 0 5.75 0 0 0
"Wsb1" 1.23 404.37 3.11 3.12 289.16 33.97 2.47 337.27 1.48 244.49 0 0.56 0 0 59.35 0 210.12 1.31 0.72 0 0 266.5 0 0.61 1745.31 0.74 56.67 0 1.5 195.07 800.24 1.65 2334.73 985.05 114.96 696.79 1.54 0 67.47 1.56 1.79 0.53 12.05 0.56 436.11 676.67 0.85 1.75 1377.59 532.31 809.42 0 0 614.72 68.35 0.82 29.29 1.35 6.46 1506.43 17.04 720.06 674.13 29.07 298.47 3.98 1.67 690.73 728.05 643 333.52 152.35 0.9 1570.21 5.05 0 108.71 1.71 1.99 3.58 1.88 5259.32 1.09 3.3 83.64 46.08 14.33 301.21 9.43 1216.62 0.81 1.73 122.93 2279.52 616.4 1.12 1.61 0 580.68 2.22 0 399.97 15.58 266.46 0.59 0.6 0 2206.59 0.55 1115.58 20.29 0 240.68 1146.02 0 1.07 411.38 343.84 19.67 148.13 585.61 0 0 0 0 384.16 441.37 112.61 0 1.09 696.13 1.83 42.38 165.15 0 0.99 0 628.44 0 753.25 411.7 265.71 32.49 5.28 2.25 0 1488.39 0 6.5 1.21 1.77 548.67 63.31 1.65 0 0 954.63 537.12 2.67 0.61 61.67 2.91 968.42 6.04 2.46 0 692.71 0 0.7 0 0.49 0
"Supt4a" 0 1213.05 5.78 0 37.21 1070.37 1016.3 0 0 146.52 9.31 0 0 474.21 381.84 2089.26 0 9.76 5.34 2165.02 0 0 0 0 3091.2 284.75 0 0 0 4.82 0 0 0 7.32 0 3.51 12.34 5.19 0 0 0 0 223.79 0 0 0 0 13.02 13.8 0 0 0 555.83 488.13 1517.57 0 6.05 0 0 7 0 7.98 253.79 0 320.94 1755.12 12.44 709.81 5.52 5.91 435.65 0 0 0 281.71 0 0 3557.09 0 0 28.01 801.47 972.42 4.53 1255.09 1744.3 1794.05 0 0 447.05 0 0 0 0 359.82 0 3.1 57.85 592.34 0 9.28 479.17 1204.23 378.03 4.36 0 0 1402.47 0 802.32 33.83 434.27 0 0 1236.22 0 307.01 14.19 0 1298.35 3.16 0 5.01 320.93 319.07 364.51 254.99 1145.47 0 0 453.59 0 892.79 695.82 712.67 0 0 6.29 0 6.89 841.46 0 0 0 0 15.33 0 0 0 0 985.96 0 1494.3 0 0 0 0 0 0 1071.99 0 0 0 0 0 3.47 0 0 0 5.39 121.61 0
"Swi5" 7.06 83.13 4.48 5.99 3.98 308.67 0 7.68 650.82 0 7.2 0 0 2539.09 322.98 0 0 883.32 1667.75 0 0 4.01 0 0 2183.54 0 1602.57 498.44 957.79 3.76 0 10.22 5.53 1939.88 1042.03 0 9.55 0 5.38 0 0 0 11.55 0 0 0 0 0 1484.6 0 0 0 1233.34 4.31 0 0 800.16 7.79 10.62 0 223.45 0 329.9 927.07 0 22.89 1125.9 0 615.53 0 2123.13 0 2.58 1509.64 588.62 4.2 1474.41 3.27 414.26 1406.95 0 0 0 627.33 0 1088.23 0 0 0 0 0 0 1006.76 0 332.11 0 438.4 0 89.56 0 222.51 2.14 0 546.61 0 767.35 0 0 1134.08 986.03 0 197.67 292.97 0 0 0 154.93 1580.87 0 116.05 1042.37 0 0 843.49 383.5 1083.81 368.29 2.35 0 294.91 525.77 0 174.68 0 657.36 796.35 0 34.07 0 0 536.19 287.01 0 30.39 0 0 0 0 0 0 935.96 0 0 0 0 0 0 6.88 0 0 5.14 4.39 0 0 2.9 0 725.69 0 0 0 179.08 0
"Sdha" 1.93 456.95 1461.86 22.95 24.47 4.28 1.94 169.78 0.63 1765.42 0.99 84.6 3.75 0 179.92 0.51 0 532.06 2.83 61.24 318.88 23.06 2.04 2.4 3 1.16 1.47 1.16 2.36 4.34 5.65 118.03 2153.95 3.1 201.72 1.11 594.42 278.67 427.58 151.45 2.46 0 199.1 358.31 296.61 1481.3 497.99 1.38 2.92 25.33 270.7 59.21 0.46 124.46 564.37 2426.27 308.49 2.13 90.83 2.22 10.09 114.82 175.2 784.96 200.11 1001.2 52.38 1081.74 1614.4 3.76 0.46 0.77 25.93 211.37 77.07 248.51 33.64 0.45 238.43 1.62 1.48 298.46 0.92 2.4 448.74 0.48 2257.8 1009.06 4 79.74 499.11 4.41 326.48 1.47 3.15 115.06 1.97 132.71 1.44 1794.96 0 1865.1 985.94 71.98 1.39 1373.04 0.44 3.83 0 2.96 177.89 272.9 7.13 5.6 477.56 5.04 32.51 3 0.82 2176.07 26.74 3.97 945.96 2.7 656.51 226.87 358.18 76.82 0 338.61 48.15 162.82 492.55 2.1 14.49 2199.5 0.96 150.5 0.74 729.33 801.68 448.99 164.6 2.08 0 4.87 5.21 2.23 593.15 1.02 1.39 0.84 21.11 274.82 1.54 41.91 1.43 395.8 0 0.96 17.59 1038.64 0.68 0 1.19 0.37 0.61 0 2.19 825.99 303.21 0.59
"Ndufv2" 2.26 744.72 45.85 15.34 843.36 0 94.04 0 563.5 3.63 2.31 405 0 1453.19 605.71 0 22.92 413.15 0 479.76 0 906.54 0 1281.55 3.51 22.53 53.93 2.7 2.76 485.62 3.3 1.64 5.31 1.81 2.71 858.32 1079.98 587.82 0 8.64 1.64 657.64 336.4 580.36 1.42 0.9 3.13 6.45 10.26 329.06 2.5 0 1255.61 1.38 0 3.01 0 0 1222.16 887.21 149.69 3.95 196.14 2.45 282.66 4.88 1353.16 3.07 2.74 2.93 309.7 855.15 41.34 2.92 460.2 1.35 9.83 0 567.21 0 0 2.23 5.4 77.41 704.79 863.91 56.81 746.33 9.35 945.7 1.49 6.88 675.17 0 226.54 0 0.77 4.78 3.37 4.09 858.98 770.01 17.1 577.73 2.16 286.23 343.43 23.91 689.82 349.75 17.49 0 147.98 3.27 0 35.01 152.1 780.21 1.93 669.69 446.42 0 0 1.26 356.57 497.47 0 389.13 78.75 89.06 353.39 0 557.72 503.1 60.84 435.84 0 490.75 0 507.21 8.17 37.23 622.9 9.73 0 3.8 32.49 0 1023.83 0 433.17 147.66 1112.05 817.66 7.22 0 1.67 505.31 14.72 639.17 365.33 552.6 1069.49 0 2683.9 13.75 400.87 472.44 0 0 223.5 817.17
"Sdhd" 2.76 2.71 1.75 0 494.58 1.53 0 409.7 0 0 0 6.26 0 0 1412.26 0 0 0 2070.21 4.07 4.96 3.13 5.83 5.49 2.14 892.25 1.05 1356.55 0 1.46 0 0 0 0 1059.15 0 1391.25 976.45 0 3.52 1259.38 1.19 938.35 0.68 2630.37 1.1 1.91 0 0 878.54 1.53 0 0 1.68 2.09 0 488.04 0 2.07 12.69 1.8 0 73.65 420.67 681.28 0 3.76 1.25 1.67 913.37 796.88 2.21 1.01 1743.79 1.42 27.92 0 1.28 54.16 4.61 0 2.72 0 184.84 285.23 0 2.48 3.16 0 0.93 2.72 0 2209.35 5.59 541.96 1.26 864.81 4193.98 135.84 9.98 0 785.6 49.27 422.5 1.32 8.03 0 0 18.8 432.16 15.52 0 414.6 3.99 0 2.4 2.9 0 2277.37 0 0 0 385.9 552.83 1.03 1251.3 1101.08 789.27 4.53 23.7 2.21 0 271.03 910.49 703.52 1.12 0 3.8 0 0 0 6.06 0 0 0 4.63 19.82 0 1255.57 1759.6 3.97 0 3.65 896.19 4.41 1399.11 8.17 0 17.97 2.75 4.02 3.43 1.93 10.63 1.13 1.05 0 1.63 1.56 1512.44 495.69 1.7
"Araf" 2.06 1.01 35.41 199.5 1.37 1969.36 3.41 141.44 0 225.85 509.36 1329.5 2 2.27 6.02 2.17 31.39 110.71 2.42 258.23 170.63 2.34 65.36 74.84 72.15 1.24 2.35 1298.35 1.49 1.63 0 530.78 1.61 8.28 4.95 1.59 0.82 0 1455.15 1700.74 1.5 0.89 371.15 5.09 72.39 229.66 476.42 1.74 2187.76 1.36 1.35 0 1739.22 561.74 1821.69 3015.2 88.87 4.55 1.55 1687.58 2.02 1.8 1196.38 0.66 0.95 6.69 4.25 329.85 47.25 5.35 0 1.65 461.11 0 20.99 19 26.93 3.04 0.96 2.76 0 420.05 0.99 1188.92 3.75 0 1.85 338.66 145.91 1079.67 363.01 11.01 1.56 0 233.35 3.78 25.33 2.18 3.08 3.73 444.64 15.19 21.87 0.86 1.97 40.07 714.66 51 289.44 1.81 0 428.75 180.72 360.62 1.05 4.41 793.45 9.62 0 1.54 305.84 0 0 0 0.77 0 0 2.06 1971.71 795.1 0 0 1985.15 418.7 0 2.81 32.95 84.07 3.17 0 906.47 1.34 214.98 8.88 0 8.98 3.71 4.77 4.37 34.46 871 330.46 0.8 1480.71 3.3 667.07 1.53 0 546.3 1.03 84.11 458.93 482.31 0 1.35 0 743.66 2.44 0 1079.61 648.78 1343.32
"Appl2" 0.93 3.2 0.59 567.51 401.92 422.6 314.92 213.5 10.3 4.49 783.53 92.69 1739.43 1.29 649.91 0.49 196.36 0 1.64 178.79 0.84 4.77 740.03 284.69 2.9 9.52 2.48 972.92 2.28 179.94 2588.95 446.17 2.92 1975.82 0 148.05 0.63 335.57 1392.18 601.68 42.06 0 0 345.74 46.89 506.43 0 1227.49 1059.22 473.07 520.67 0.88 0.89 535.45 1062.32 1.24 87.06 94.68 0 2076.84 210.36 387.51 328.01 592.46 229.73 516.21 91.56 573.23 2.82 152.37 210.43 2.99 0.34 0.8 5.28 386.78 129.9 0 60.63 0.94 64.44 2518.54 0.89 1384.78 583.58 847.69 412.75 1260.68 1647.83 99.25 212.13 1.42 564.32 54.87 77.99 492.32 71.63 2.96 1.39 0 0 3.12 27.23 0.39 0 2.72 21.89 1.23 61.76 3.27 0.33 0.65 0 1927.75 7.57 995.24 8.83 380.54 1.59 982.9 0.32 0.96 0.51 39.19 0.35 0.65 104.29 65.56 1.53 251.19 1.5 0 1.3 1352.73 0.41 397.57 594.25 8.36 0.72 0.7 8.44 0 229.19 6.02 0 3.14 3.35 4.31 0.99 0 40.33 0 1.85 919.47 2.98 1.04 1.38 483.67 4.05 0.93 0.68 1.16 1.96 0 0.38 0.35 256.12 79.9 0 385.37 75.81 0.57
"Ctsd" 1900.85 1328.83 3.91 1.31 848.76 238.99 342.57 146.01 431.94 0 6.32 1149.96 1.5 2.14 18.51 5.67 9.78 0 1089.63 801.58 5.55 547.71 0 0.77 5.99 388.75 1.17 772.35 420.35 1.63 31.82 1056.65 1135.89 0 3.7 1.78 0 2.63 69.31 471.75 3.36 0 0 4.96 0.97 1.85 26.71 781.45 11.65 0 0.85 498.79 1593.84 3.77 1693.57 2.05 1.02 0 0 7.1 1137.78 0 1120.44 556.64 0 1.67 1084.72 0.7 4.67 95.3 809.85 0 0 1.33 1.59 370.09 1345.38 28.17 1.8 0 42.61 35.01 0.74 0 20.53 1.54 0 4.46 6.38 0.52 828.12 347.38 0 0.78 458.73 0 208.57 3.26 581.53 184.15 4.7 1085.99 1610.9 0.65 0.74 0 54.57 2.04 21.94 2.03 472.87 426.42 1.42 0 511.89 1100.77 187.3 28.78 0 1389.72 146.75 0 1.69 37.89 2.3 0 0 1.03 0 552.85 0 0 70.32 3.34 0 1328.57 1.54 17.01 1.19 105.95 691.74 1.69 2.66 3.32 3.04 0 11.08 3.56 1405.73 0 0 9.33 1495.03 0 0 25.73 1134.34 961.68 0 472.62 3.37 0.96 0 0 1.9 4285.17 0 0 0.87 0 416.79 0
"Btg1" 578.41 384.07 0.97 193.04 287.55 563.6 362.46 185.27 433.74 294.23 813.79 108 2.49 50.02 116.39 724.53 14.22 211.39 853.95 171.05 2.3 611.47 466.15 928.91 895.22 511.66 0.39 388.85 205.91 57.97 400.88 1.11 457.76 438.35 6.54 232.39 778.45 347.55 255.77 469.71 2.61 326.36 77.87 1127 156.54 1.84 206.04 395.67 739.69 113.34 529.36 607.78 598.03 1164.01 1257.36 25.03 4.99 677.65 1.54 729.22 211.17 259.15 179.56 791.52 148.27 30.43 63.95 1296.61 2.17 772.88 183.25 38.82 290.68 239.34 101.93 278.2 206.04 508.55 5.93 1.37 587.77 230.92 0.73 109.91 330.23 551.78 629.7 199.55 84.71 301.63 36.55 10.13 436.66 2.6 277.03 30.49 154.44 1345.91 730.26 0.93 199.15 272.31 16.55 66.66 18.55 297.18 8.23 61.61 388.41 126.42 5.4 68.81 113.78 196.31 13 1004.85 208.63 44.58 342.02 500.37 40.26 283.47 2.53 378.4 2.47 57.36 26.71 712.54 500.58 240.04 584.54 2.29 1 398.79 506.94 233.65 25.56 230.49 494.64 182.47 2.46 110.78 383.18 4.41 281.92 2.58 32.19 1.18 392.24 5.94 2.95 89.03 5.21 3.45 2.45 572.42 169.63 4.49 5.56 464.92 11.56 486.93 439.65 3.94 4 131.19 192.52 99.17 248.91 1.51 0.66 0.31
"Snrnp27" 0 2.87 2774.19 288.24 0 3.24 0 174.2 3.8 37.63 0 10.63 369.94 162.38 719.6 3080.18 7.43 695.39 3.43 0 0 0 6.19 0 336.94 7.03 0 529.27 0 0 8.56 8.48 4.59 0 0 6.75 812 66.68 0 0 0 1254.08 603.65 2.9 3.67 2.34 308.47 318.45 0 114.37 51.87 0 5.56 0 1136.31 0 624.23 0 956.2 13.48 514.19 0 117.32 3.18 0 0 7.99 0 0 0 781.11 4.69 4.29 415.71 319.59 247.67 0 773.28 1.37 816.84 8.99 0 1254.29 250.1 805.93 278.52 110.47 3.36 218.1 17.69 15.42 0 229.18 0 0 0 3.98 6.19 122.4 0 0 132.43 29.74 473.19 366.99 707.73 0 0 0 282.14 179.13 434.67 290.37 0 1049.98 0 218.68 36.43 5 0 271.47 186.42 575.26 3.27 333.47 299.78 10.91 395.81 0 98.93 70.01 831.53 39.09 182.12 121.5 284.22 1189.68 504.77 0 0 1038.15 96.55 0 0 728.63 0 21.05 13.53 6.2 2691.14 0 122.4 189.81 23.69 0 501.78 855.1 0 12.72 1204.61 72.51 3.64 94.31 0 4.81 1428.48 220.31 0 1648.75 3558.93 192.68 0
"1810009A15Rik" 0 109.36 0 0 0 0 8.8 506.5 8.51 21.05 0 446.1 0 0 348.83 0 0 925.39 0 19.33 0 834.41 0 0 1384.08 7.87 4.98 949.21 0 508.75 0 0 0 10.52 0 458.42 0 0 1228.48 0 4.77 0 1393.92 611.85 0 0 1235.42 0 0 0 986.69 989.01 0 0 0 0 0 0 0 0 706.25 11.46 364.69 0 953.1 14.17 0 0 7.94 0 520.77 660.97 0 0 452.1 0 0 0 3.07 4.38 0 0 1942.5 1002.66 1027.94 0 0 0 0 726.01 4.31 0 0 0 407.66 6.01 916.49 0 616.37 0 1373.02 533.48 0 203.03 0 0 0 0 0 338.69 0 1018.72 0 0 0 1960.52 1007.75 0 1588.03 680.86 0 0 654.61 7.32 0 1691.11 24.43 4.36 0 291.32 1061.87 0 258.79 0 1353.88 0 3259.28 18.08 1330.38 9.9 0 14.41 0 0 0 22.03 23.56 0 0 1391 0 0 0 0 20.95 0 1272.62 894.38 0 6.53 0 513.89 18.36 0 0 0 8.22 0 0 743.83 0 0
"Snrpd1" 0 275.25 0 287.53 148.28 0 450.97 842.56 675.26 0 23.85 185.57 5.76 4.05 274.92 3.07 0 6.25 130 0 0 0 0 0 0 396.3 2.22 0 1157.02 0 2894.59 0 1802.08 4.69 953.66 2.25 0 0 0 2293.92 853.97 2.51 535.24 0 864.1 0 0 8.34 0 452.17 0 0 438.3 0 8.86 19.44 1402.05 0 1521.41 85.16 926.66 10.22 6.5 459.89 122.14 258.91 0 2.64 1560.28 3.79 472.49 360.05 1186.4 0 1175.91 3.48 0 2.71 816.9 1.95 8.97 0 2.79 0 0 143.3 0 3.35 0 0 367.24 0 534.12 0 120.53 0 1.98 0 902.63 0 0 672.49 0 278.1 0 0 628.34 0 984.21 184.21 1483.78 437.67 716.71 0 0 0 194.58 0 508.4 28.38 1516.48 3 468.09 94.61 1224.03 602.15 566.13 0 0 0 712.24 0 224.19 803.15 575.05 791.46 0 624.35 0 339.68 0 6.42 433.7 0 11.54 0 0 40.5 0 0 8.42 10.18 0 0 1596.34 0 4.33 0 12.69 0 0 0 1145.35 0 2.4 0 0 465.91 0 3.45 3.77 7.19
"Atp1b2" 825.12 0.46 5.29 480.54 556.64 417 593.97 670.98 879.98 1312.55 146.73 2.1 2.7 3.86 321.21 1265.13 79.99 438.53 1.09 2.74 3825.99 50.68 0.98 0.92 430.59 211.04 1378.92 539.57 704.93 1.47 2.71 3.93 0.73 1347.6 204.85 1.43 846.2 743.06 1.41 287.35 427.43 1.2 437.04 248.83 1.16 604.96 43.71 14.57 65.97 52.79 0 342.93 828.91 541.54 522.15 842.54 104 61.8 1.4 555.8 61.45 498.06 300.39 382.71 0 306.14 128.99 631.25 1.69 3.01 716.82 69.8 0.34 790.07 37.24 480.64 577.12 0.43 1.3 4.34 1851.31 0.92 0.44 199.43 21.96 204.76 512.83 816.45 15.35 295.13 518.52 15.53 28.35 105.84 0.67 502.44 146.07 4.9 305.32 6.71 0 1.13 959.67 0.39 0.44 26.55 149.21 56.44 436.27 1.62 0.33 0.65 62.46 241.81 138.17 0 146.81 1557.72 1.58 52.17 69.34 0 1.53 94.27 0.35 1.3 1.73 259.24 0 178.36 1.49 5.54 0.26 2.68 0.41 101.77 1.85 218.41 1.43 663.29 3.36 3.06 440.45 3.99 1.83 3.12 13.34 0 94.29 2.95 6.68 1.62 431.9 1906.28 1.48 3.1 693.66 47.01 1248.88 1.39 870.77 0.58 0.65 3.57 1.14 0.85 0 1.1 0 545.07 247.71 0
"Psme1" 485.58 27.62 1054.37 602.43 0 187.55 0 358.1 0 1986.96 0 166.97 0 0 616.75 0 5.49 787.18 0 6.38 0 0 4.57 0 0 0 0 1611.28 0 1148.63 1524.79 567.08 6.78 0 0 0 1797.58 110.89 229.87 281.45 0 0 0 1.07 0 0 0 0 2168.25 120.76 2.4 869.63 0 0 0 2.88 2.87 1404.22 0 3.32 31.08 0 4.82 2.35 108.3 9.36 5.9 89.9 0 0 198.6 1761.08 1.58 1540.06 0 10.31 527.38 0 2.02 2.9 0 0 2.07 0 102.48 2.17 0 2.48 0 0 0 0 0 0 216.22 223.92 29.39 0 3.23 0 0 1.31 0 0 0 0 841.63 0 61.12 0 3.05 0 35.94 0 215.36 0 0 0 11.08 3.24 371.39 2.22 0 623.7 441.41 57.67 0 2.88 334.44 0 0 0 46.95 356.87 36.3 1.75 0 432.78 0 702.8 0 0 0 9.32 0 0 0 0 4.58 0 6.24 0 0 0 145.26 688.78 0 0 0 0 3.15 83.51 0 16938.16 843.11 1.65 0 137.32 0 0 315.54 0
"Gm15421" 6.27 0 4.61 5.32 3.53 0 0 519.7 0 0 6.39 434.86 6.09 1085.53 73.19 0 0 811.2 1049.14 0 0 606.55 0 0 0 605.46 401.46 554.87 45.95 0 9.16 1137.87 4.9 0 0 189.25 0 813.06 504.86 0 1020.67 473.24 0 7.14 0 2.51 4.34 8.94 468.3 317.42 6.93 1711.31 246.85 3.83 0 500.24 145.49 0 0 639.95 619.62 0 48.81 904 1307.5 0 0 2.83 7.59 777.35 666.21 0 0 905.88 555.12 1082.13 13.63 2.9 5.86 561.41 0 6.18 260.54 3.11 9.27 1583.32 0 3.59 2759.89 0 251.73 0 2.38 263.11 2.27 0 983.32 0 0 0 25.48 1.9 771.4 444.32 3 1177.83 329.16 629.75 0 219.52 297.97 0 187.67 1136.58 0 157.97 406.91 540.49 0 2.34 264.43 0 374.94 484.9 124.82 121.49 393.85 611.46 10.3 237.86 547.71 0 392.27 0 2.77 757.84 93.83 496.46 4.82 208.31 460.01 693.68 0 13.48 0 0 22.52 0 0 0 0 491.27 4.14 25.34 0 1307.08 4.64 0 13.6 3.12 663.87 933.51 831.98 0 10.3 2.38 448.96 0 85.16 385.6 130.03 685.18
"Idh1" 1628.58 397.69 1.62 0 271.66 280.2 204.65 62.75 783.6 2.06 11.77 4.07 2.49 1.78 3.33 2.69 505.04 161.69 0.75 0 1647.02 1016.32 0 1.27 29.88 347.15 0.49 5.37 996.79 3.04 1.87 5.56 0 1.03 7.69 0 1.73 80.21 0 0 1.4 1.65 727.23 1195.54 0.8 2.56 17.76 217.41 171.05 226.58 2.13 399.91 3.65 1320.2 508.83 5.97 0 2.83 264.08 19.66 1.25 0 163.94 6.26 323.71 40.16 1237 16.23 0.78 1.66 733.59 0 0 1.1 0 78.59 41.31 0.59 0.6 0.43 13.77 5.06 0 1.89 0 0.64 1.15 144.71 307.47 782.47 1201.11 27.3 1298.19 1481.78 2.32 0 169.26 874.64 866.01 11.59 0 70.42 43.91 313.71 1.23 0.62 0 2097.9 0.62 590.54 0.45 176.66 36.63 0 743.9 0 0.67 11.95 0 0 35.47 0.66 0 0.72 1.91 0.9 0 59.19 4.21 525.23 1.03 1.91 95.11 401.73 0 1035.69 1.28 1.77 0.98 0.97 2.32 741.46 7.37 5.51 0 0 2.3 2547.09 0 709.3 5.24 4.46 35.08 76.01 0 0 0 2.5 0 0 1.87 0.8 263.76 4.94 0.53 10593.58 0 0 255.62 0 238.81 1525.17
"Dclk1" 0.99 0.6 1.57 300.61 220.93 85.16 7.76 268.13 478.9 1245.51 1318.74 144.6 1.92 88.96 0.6 25.48 207.97 9.24 108.64 276.43 105.74 451.21 1669.94 0.67 86.3 93.56 3.71 683.06 225.93 1.01 529.12 539.27 1032.37 21.63 792.55 326.13 21.7 286.23 1006.83 374.28 362.84 0.78 0 219.82 143.64 167.94 783.34 274.77 285.01 191.05 556.15 66.99 305.53 1.73 543.11 44.45 77.42 667.48 92.01 505.47 44.06 286.22 248.66 577.56 112.97 1.36 681.16 574.6 1.2 1192.88 140.34 183.48 1318.44 79.68 120.82 394.18 353.91 1.15 67.67 7.19 3.38 398.64 73.63 327.39 66.22 1053.05 396.49 78.51 446.29 446.4 1.14 4.52 111.08 276.63 20.79 623.62 51.01 635.02 417.17 164.76 2.52 473.8 161.25 113.22 952.36 78.47 1008.64 2027.44 320.92 5.18 87.36 99.77 525.27 1222.66 186.46 1403.07 341.06 1013.79 158.83 99.11 2.06 518.49 53.78 345.38 1.47 88.82 234.66 115.06 1.63 494.83 117.7 0.74 3.72 252.48 1.03 739.33 11.36 341.55 313.02 0.95 73.39 165.59 233.07 2.13 2.66 2.49 2.33 3.87 1.43 0 2.66 1.46 614.78 926.54 0.79 2.2 1.24 128.56 2.93 0.92 45.05 0.31 1.29 0 0 0.38 18.76 0.29 0.28 113.7 49.64 0.3
"Paics" 3.62 2.36 2.29 434.04 0.68 0 0.81 386.75 860.37 977.01 2.46 234.48 4.68 76.81 1084.29 1460.61 6.11 520.52 3.53 268.18 1077.8 959.64 0 0 0.94 5.06 0.91 0.72 41.28 0.64 0 1082.61 1.89 1.93 8.67 1388.15 57.83 8.19 1.84 0 0.88 60.08 1.97 824.38 0 27.93 1088.61 1.72 5.47 0 0.67 2.27 632 3.68 0.91 3.21 1494.07 326.93 2123.77 100.73 1252.05 1.05 2.68 5.89 661.1 1.3 22.99 0 24.07 4.68 629.09 1.93 0.88 0.52 79.37 1.43 5.24 2.23 118.01 0.4 29.59 611.21 1162.87 331.38 117.42 512.52 1.08 1221.2 4.98 1.21 1.19 0 1.37 1.22 315.64 0 272.58 2.55 2.7 2.18 1.22 0.73 13.76 378.9 1.15 0.58 0 1698.4 29.32 0.53 0.42 1.69 37.78 0 0.61 3.14 1.27 1.87 40.08 2.25 258.05 2.47 1.32 999.56 1473.6 1524.43 804.14 0.8 3.96 705.4 1.93 0 134.98 1114.95 1419.07 1131.57 3945.06 1.66 2.78 2.73 640.53 452.75 0 10.37 2.38 16.2 8.66 8.35 814.84 1.28 10.42 3.15 1884.75 4.87 1.92 1.34 1.79 603.48 0 602.27 0.88 2.25 0 4.64 0.99 0.92 705.3 0 0 17.09 0 0
